aalen:	('aalɛnɛm', 'N;INS;SG')
	('ɛlɛkdrɔɲiku', 'N;VOC;SG')
elektronowolt:	('ɛlɛkdrɔnɔvɔl\U00100001ʲiɛ', 'N;ESS;SG')
	('ɛlɛkdrɔnɔvɔl\U00100001ʲiɛ', 'N;VOC;SG')
	('ɛlɛkdrɔnɔvɔltax', 'N;ESS;PL')
	('ɛlɛkdrɔnɔvɔltamʲi', 'N;INS;PL')
	('ɛlɛkdrɔnɔvɔlta', 'N;GEN;SG')
	('ɛlɛkdrɔnɔvɔltɛm', 'N;INS;SG')
	('ɛ l ɛ k t r ɔ n ɔ v ɔ l t', 'N;ACC;SG')
	('ɛ l ɛ k t r ɔ n ɔ v ɔ l t', 'N;NOM;SG')
	('ɛlɛkdrɔnɔvɔltɔm', 'N;DAT;PL')
	('ɛlɛkdrɔnɔvɔltɔvʲi', 'N;DAT;SG')
	('ɛlɛkdrɔnɔvɔltuv', 'N;GEN;PL')
	('ɛlɛkdrɔnɔvɔltɨ', 'N;ACC;PL')
	('ɛlɛkdrɔnɔvɔltɨ', 'N;NOM;PL')
	('ɛlɛkdrɔnɔvɔltɨ', 'N;VOC;PL')
elektrownia:	('ɛlɛkdrɔvɲiax', 'N;ESS;PL')
	('ɛlɛkdrɔvɲiamʲi', 'N;INS;PL')
	('ɛlɛkdrɔvɲiɔ̃', 'N;INS;SG')
	('ɛ l ɛ k t r ɔ v ɲ a', 'N;NOM;SG')
	('ɛlɛkdrɔvɲiɛ', 'N;ACC;PL')
	('ɛlɛkdrɔvɲiɛ~', 'N;ACC;SG')
	('ɛlɛkdrɔvɲiɛ', 'N;NOM;PL')
	('ɛlɛkdrɔvɲiɛ', 'N;VOC;PL')
	('ɛlɛkdrɔvɲi', 'N;DAT;SG')
	('ɛlɛkdrɔvɲi', 'N;ESS;SG')
	('ɛlɛkdrɔvɲi', 'N;GEN;PL')
	('ɛlɛkdrɔvɲi', 'N;GEN;SG')
	('ɛlɛkdrɔvɲiɔm', 'N;DAT;PL')
	('ɛlɛkdrɔvɲiɔ', 'N;VOC;SG')
elektryk:	('ɛlɛkdrɨ\U00100001ɨ', 'N;NOM;PL')
	('ɛlɛkdrɨ\U00100001ɨ', 'N;VOC;PL')
	('ɛlɛkdrɨkax', 'N;ESS;PL')
	('ɛlɛkdrɨkamʲi', 'N;INS;PL')
	('ɛlɛkdrɨka', 'N;ACC;SG')
	('ɛlɛkdrɨka', 'N;GEN;SG')
	('ɛlɛkdrɨkʲiɛm', 'N;INS;SG')
	('ɛ l ɛ k t r ɨ k', 'N;NOM;SG')
	('ɛlɛkdrɨkɔm', 'N;DAT;PL')
	('ɛlɛkdrɨkɔvʲi', 'N;DAT;SG')
	('ɛlɛkdrɨkuv', 'N;ACC;PL')
	('ɛlɛkdrɨkuv', 'N;GEN;PL')
	('ɛlɛkdrɨku', 'N;ESS;SG')
	('ɛlɛkdrɨku', 'N;VOC;SG')
element:	('ɛlɛmɛn\U00100001ʲiɛ', 'N;ESS;SG')
	('ɛlɛmɛn\U00100001ʲiɛ', 'N;VOC;SG')
	('ɛlɛmɛntax', 'N;ESS;PL')
	('ɛlɛmɛntamʲi', 'N;INS;PL')
	('ɛlɛmɛntɛm', 'N;INS;SG')
	('ɛ l ɛ m ɛ n t', 'N;ACC;SG')
	('ɛ l ɛ m ɛ n t', 'N;NOM;SG')
	('ɛlɛmɛntɔm', 'N;DAT;PL')
	('ɛlɛmɛntɔvʲi', 'N;DAT;SG')
	('ɛlɛmɛntuv', 'N;GEN;PL')
	('ɛlɛmɛntu', 'N;GEN;SG')
	('ɛlɛmɛntɨ', 'N;ACC;PL')
	('ɛlɛmɛntɨ', 'N;NOM;PL')
	('ɛlɛmɛntɨ', 'N;VOC;PL')
elipsa:	('ɛlʲipsax', 'N;ESS;PL')
	('ɛlʲipsamʲi', 'N;INS;PL')
	('ɛlʲipsɔ̃', 'N;INS;SG')
	('ɛ lʲ i p s a', 'N;NOM;SG')
	('ɛlʲipsɛ~', 'N;ACC;SG')
	('ɛlʲipɕiɛ', 'N;DAT;SG')
	('ɛlʲipɕiɛ', 'N;ESS;SG')
	('ɛlʲips', 'N;GEN;PL')
	('ɛlʲipsɔm', 'N;DAT;PL')
	('ɛlʲipsɔ', 'N;VOC;SG')
	('ɛlʲipsɨ', 'N;ACC;PL')
	('ɛlʲipsɨ', 'N;GEN;SG')
	('ɛlʲipsɨ', 'N;NOM;PL')
	('ɛlʲipsɨ', 'N;VOC;PL')
elita:	('ɛlʲi\U00100001ʲiɛ', 'N;DAT;SG')
	('ɛlʲi\U00100001ʲiɛ', 'N;ESS;SG')
	('ɛlʲitax', 'N;ESS;PL')
	('ɛlʲitamʲi', 'N;INS;PL')
	('ɛlʲitɔ̃', 'N;INS;SG')
	('ɛ lʲ i t a', 'N;NOM;SG')
	('ɛlʲitɛ~', 'N;ACC;SG')
	('ɛlʲit', 'N;GEN;PL')
	('ɛlʲitɔm', 'N;DAT;PL')
	('ɛlʲitɔ', 'N;VOC;SG')
	('ɛlʲitɨ', 'N;ACC;PL')
	('ɛlʲitɨ', 'N;GEN;SG')
	('ɛlʲitɨ', 'N;NOM;PL')
	('ɛlʲitɨ', 'N;VOC;PL')
e-mail:embargo:	('ɛmbargax', 'N;ESS;PL')
	('ɛmbargamʲi', 'N;INS;PL')
	('ɛmbarga', 'N;ACC;PL')
	('ɛmbarga', 'N;GEN;SG')
	('ɛmbarga', 'N;NOM;PL')
	('ɛmbarga', 'N;VOC;PL')
	('ɛmbargʲiɛm', 'N;INS;SG')
	('ɛmbark', 'N;GEN;PL')
	('ɛmbargɔm', 'N;DAT;PL')
	('ɛ m b a r ɡ ɔ', 'N;ACC;SG')
	('ɛ m b a r ɡ ɔ', 'N;NOM;SG')
	('ɛ m b a r ɡ ɔ', 'N;VOC;SG')
	('ɛmbargu', 'N;DAT;SG')
	('ɛmbargu', 'N;ESS;SG')
emerytura:	('ɛmɛrɨturax', 'N;ESS;PL')
	('ɛmɛrɨturamʲi', 'N;INS;PL')
	('ɛmɛrɨturɔ̃', 'N;INS;SG')
	('ɛ m ɛ r ɨ t u r a', 'N;NOM;SG')
	('ɛmɛrɨturɛ~', 'N;ACC;SG')
	('ɛmɛrɨtur', 'N;GEN;PL')
	('ɛmɛrɨturɔm', 'N;DAT;PL')
	('ɛmɛrɨturɔ', 'N;VOC;SG')
	('ɛmɛrɨturɨ', 'N;ACC;PL')
	('ɛmɛrɨturɨ', 'N;GEN;SG')
	('ɛmɛrɨturɨ', 'N;NOM;PL')
	('ɛmɛrɨturɨ', 'N;VOC;PL')
	('ɛmɛrɨtuʐɛ', 'N;DAT;SG')
	('ɛmɛrɨtuʐɛ', 'N;ESS;SG')
emirat:	('ɛmʲira\U00100001ʲiɛ', 'N;ESS;SG')
	('ɛmʲira\U00100001ʲiɛ', 'N;VOC;SG')
	('ɛmʲiratax', 'N;ESS;PL')
	('ɛmʲiratamʲi', 'N;INS;PL')
	('ɛmʲiratɛm', 'N;INS;SG')
	('ɛmʲirat', 'N;ACC;SG')
	('ɛmʲirat', 'N;NOM;SG')
	('ɛmʲiratɔm', 'N;DAT;PL')
	('ɛmʲiratɔvʲi', 'N;DAT;SG')
	('ɛmʲiratuv', 'N;GEN;PL')
	('ɛmʲiratu', 'N;GEN;SG')
	('ɛmʲiratɨ', 'N;ACC;PL')
	('ɛmʲiratɨ', 'N;NOM;PL')
	('ɛmʲiratɨ', 'N;VOC;PL')
emir:	('ɛmʲirax', 'N;ESS;PL')
	('ɛmʲiramʲi', 'N;INS;PL')
	('ɛmʲira', 'N;ACC;SG')
	('ɛmʲira', 'N;GEN;SG')
	('ɛmʲirɛm', 'N;INS;SG')
	('ɛmʲir', 'N;NOM;SG')
	('ɛmʲirɔm', 'N;DAT;PL')
	('ɛmʲirɔvʲiɛ', 'N;NOM;PL')
	('ɛmʲirɔvʲiɛ', 'N;VOC;PL')
	('ɛmʲirɔvʲi', 'N;DAT;SG')
	('ɛmʲiruv', 'N;ACC;PL')
	('ɛmʲiruv', 'N;GEN;PL')
	('ɛmʲiʐɛ', 'N;ESS;SG')
	('ɛmʲiʐɛ', 'N;VOC;SG')
emocja:	('ɛmɔ\U00100001jax', 'N;ESS;PL')
	('ɛmɔ\U00100001jamʲi', 'N;INS;PL')
	('ɛmɔ\U00100001jɔ̃', 'N;INS;SG')
	('ɛ m ɔ t͡s j a', 'N;NOM;SG')
	('ɛmɔ\U00100001jɛ', 'N;ACC;PL')
	('ɛmɔ\U00100001jɛ~', 'N;ACC;SG')
	('ɛmɔ\U00100001jɛ', 'N;NOM;PL')
	('ɛmɔ\U00100001jɛ', 'N;VOC;PL')
	('ɛmɔ\U00100001jʲi', 'N;DAT;SG')
	('ɛmɔ\U00100001jʲi', 'N;ESS;SG')
	('ɛmɔ\U00100001jʲi', 'N;GEN;PL')
	('ɛmɔ\U00100001jʲi', 'N;GEN;SG')
	('ɛmɔ\U00100001jɔm', 'N;DAT;PL')
	('ɛmɔ\U00100001jɔ', 'N;VOC;SG')
empetrójka:	('ɛmpɛdruj\U00100001ɛ', 'N;DAT;SG')
	('ɛmpɛdruj\U00100001ɛ', 'N;ESS;SG')
	('ɛmpɛdrujɛk', 'N;GEN;PL')
	('ɛmpɛdrujkax', 'N;ESS;PL')
	('ɛmpɛdrujkamʲi', 'N;INS;PL')
	('ɛmpɛdrujkɔ̃', 'N;INS;SG')
	('ɛmpɛdrujka', 'N;NOM;SG')
	('ɛmpɛdrujkɛ~', 'N;ACC;SG')
	('ɛmpɛdrujkʲi', 'N;ACC;PL')
	('ɛmpɛdrujkʲi', 'N;GEN;SG')
	('ɛmpɛdrujkʲi', 'N;NOM;PL')
	('ɛmpɛdrujkʲi', 'N;VOC;PL')
	('ɛmpɛdrujkɔm', 'N;DAT;PL')
	('ɛmpɛdrujkɔ', 'N;VOC;SG')
emporium:	('ɛmpɔrʲiax', 'N;ESS;PL')
	('ɛmpɔrʲiamʲi', 'N;INS;PL')
	('ɛmpɔrʲia', 'N;ACC;PL')
	('ɛmpɔrʲia', 'N;NOM;PL')
	('ɛmpɔrʲia', 'N;VOC;PL')
	('ɛmpɔrʲiɔm', 'N;DAT;PL')
	('ɛmpɔrʲiuv', 'N;GEN;PL')
	('ɛmpɔrʲium', 'N;ACC;SG')
	('ɛmpɔrʲium', 'N;DAT;SG')
	('ɛmpɔrʲium', 'N;ESS;SG')
	('ɛmpɔrʲium', 'N;GEN;SG')
	('ɛmpɔrʲium', 'N;INS;SG')
	('ɛmpɔrʲium', 'N;NOM;SG')
	('ɛmpɔrʲium', 'N;VOC;SG')
encyklopedia:	('ɛn\U00100001ɨglɔpɛdʲiax', 'N;ESS;PL')
	('ɛn\U00100001ɨglɔpɛdʲiamʲi', 'N;INS;PL')
	('ɛn\U00100001ɨglɔpɛdʲiɔ̃', 'N;INS;SG')
	('ɛ n t͡s ɨ k l ɔ p ɛ d j a', 'N;NOM;SG')
	('ɛn\U00100001ɨglɔpɛdʲiɛ', 'N;ACC;PL')
	('ɛn\U00100001ɨglɔpɛdʲiɛ~', 'N;ACC;SG')
	('ɛn\U00100001ɨglɔpɛdʲiɛ', 'N;NOM;PL')
	('ɛn\U00100001ɨglɔpɛdʲiɛ', 'N;VOC;PL')
	('ɛn\U00100001ɨglɔpɛdʲii', 'N;DAT;SG')
	('ɛn\U00100001ɨglɔpɛdʲii', 'N;ESS;SG')
	('ɛn\U00100001ɨglɔpɛdʲii', 'N;GEN;PL')
	('ɛn\U00100001ɨglɔpɛdʲii', 'N;GEN;SG')
	('ɛn\U00100001ɨglɔpɛdʲiɔm', 'N;DAT;PL')
	('ɛn\U00100001ɨglɔpɛdʲiɔ', 'N;VOC;SG')
endonim:	('ɛndɔɲimax', 'N;ESS;PL')
	('ɛndɔɲimamʲi', 'N;INS;PL')
	('ɛndɔɲimɛm', 'N;INS;SG')
	('ɛndɔɲimʲiɛ', 'N;ESS;SG')
	('ɛndɔɲimʲiɛ', 'N;VOC;SG')
	('ɛ n d ɔ ɲ i m', 'N;ACC;SG')
	('ɛ n d ɔ ɲ i m', 'N;NOM;SG')
	('ɛndɔɲimɔm', 'N;DAT;PL')
	('ɛndɔɲimɔvʲi', 'N;DAT;SG')
	('ɛndɔɲimuv', 'N;GEN;PL')
	('ɛndɔɲimu', 'N;GEN;SG')
	('ɛndɔɲimɨ', 'N;ACC;PL')
	('ɛndɔɲimɨ', 'N;NOM;PL')
	('ɛndɔɲimɨ', 'N;VOC;PL')
endorfina:	('ɛndɔrfʲinax', 'N;ESS;PL')
	('ɛndɔrfʲinamʲi', 'N;INS;PL')
	('ɛndɔrfʲinɔ̃', 'N;INS;SG')
	('ɛ n d ɔ r fʲ i n a', 'N;NOM;SG')
	('ɛndɔrfʲinɛ~', 'N;ACC;SG')
	('ɛndɔrfʲiɲiɛ', 'N;DAT;SG')
	('ɛndɔrfʲiɲiɛ', 'N;ESS;SG')
	('ɛndɔrfʲin', 'N;GEN;PL')
	('ɛndɔrfʲinɔm', 'N;DAT;PL')
	('ɛndɔrfʲinɔ', 'N;VOC;SG')
	('ɛndɔrfʲinɨ', 'N;ACC;PL')
	('ɛndɔrfʲinɨ', 'N;GEN;SG')
	('ɛndɔrfʲinɨ', 'N;NOM;PL')
	('ɛndɔrfʲinɨ', 'N;VOC;PL')
energia:	('ɛ n ɛ r ɡʲ j a x', 'N;ESS;PL')
	('ɛ n ɛ r ɡʲ j a mʲ i', 'N;INS;PL')
	('ɛ n ɛ r ɡʲ ɔ̃', 'N;INS;SG')
	('ɛ n ɛ r ɡʲ j a', 'N;NOM;SG')
	('ɛ n ɛ r ɡʲ ɛ', 'N;ACC;PL')
	('ɛ n ɛ r ɡʲ ɛ', 'N;ACC;SG')
	('ɛ n ɛ r ɡʲ ɛ', 'N;NOM;PL')
	('ɛ n ɛ r ɡʲ ɛ', 'N;VOC;PL')
	('ɛ n ɛ r ɡʲ j i', 'N;DAT;SG')
	('ɛ n ɛ r ɡʲ j i', 'N;ESS;SG')
	('ɛ n ɛ r ɡʲ j i', 'N;GEN;PL')
	('ɛ n ɛ r ɡʲ j i', 'N;GEN;SG')
	('ɛ n ɛ r ɡʲ j ɔ m', 'N;DAT;PL')
	('ɛ n ɛ r ɡʲ j ɔ', 'N;VOC;SG')
enklawa:	('ɛnglavax', 'N;ESS;PL')
	('ɛnglavamʲi', 'N;INS;PL')
	('ɛnglavɔ̃', 'N;INS;SG')
	('ɛ ŋ k l a v a', 'N;NOM;SG')
	('ɛnglavɛ~', 'N;ACC;SG')
	('ɛnglavʲiɛ', 'N;DAT;SG')
	('ɛnglavʲiɛ', 'N;ESS;SG')
	('ɛnglav', 'N;GEN;PL')
	('ɛnglavɔm', 'N;DAT;PL')
	('ɛnglavɔ', 'N;VOC;SG')
	('ɛnglavɨ', 'N;ACC;PL')
	('ɛnglavɨ', 'N;GEN;SG')
	('ɛnglavɨ', 'N;NOM;PL')
	('ɛnglavɨ', 'N;VOC;PL')
entalpia:	('ɛntalpʲiax', 'N;ESS;PL')
	('ɛntalpʲiamʲi', 'N;INS;PL')
	('ɛntalpʲiɔ̃', 'N;INS;SG')
	('ɛ n t a l pʲ a', 'N;NOM;SG')
	('ɛntalpʲiɛ', 'N;ACC;PL')
	('ɛntalpʲiɛ~', 'N;ACC;SG')
	('ɛntalpʲiɛ', 'N;NOM;PL')
	('ɛntalpʲiɛ', 'N;VOC;PL')
	('ɛntalpʲii', 'N;DAT;SG')
	('ɛntalpʲii', 'N;ESS;SG')
	('ɛntalpʲii', 'N;GEN;PL')
	('ɛntalpʲii', 'N;GEN;SG')
	('ɛntalpʲiɔm', 'N;DAT;PL')
	('ɛntalpʲiɔ', 'N;VOC;SG')
enter:	('ɛntɛrax', 'N;ESS;PL')
	('ɛntɛramʲi', 'N;INS;PL')
	('ɛntɛra', 'N;GEN;SG')
	('ɛntɛrɛm', 'N;INS;SG')
	('ɛ n t ɛ r', 'N;ACC;SG')
	('ɛ n t ɛ r', 'N;NOM;SG')
	('ɛntɛrɔm', 'N;DAT;PL')
	('ɛntɛrɔvʲi', 'N;DAT;SG')
	('ɛntɛruv', 'N;GEN;PL')
	('ɛntɛrɨ', 'N;ACC;PL')
	('ɛntɛrɨ', 'N;NOM;PL')
	('ɛntɛrɨ', 'N;VOC;PL')
	('ɛntɛʐɛ', 'N;ESS;SG')
	('ɛntɛʐɛ', 'N;VOC;SG')
entomolog:	('ɛntɔmɔlɔdzɨ', 'N;NOM;PL')
	('ɛntɔmɔlɔdzɨ', 'N;VOC;PL')
	('ɛntɔmɔlɔgax', 'N;ESS;PL')
	('ɛntɔmɔlɔgamʲi', 'N;INS;PL')
	('ɛntɔmɔlɔga', 'N;ACC;SG')
	('ɛntɔmɔlɔga', 'N;GEN;SG')
	('ɛntɔmɔlɔgʲiɛm', 'N;INS;SG')
	('ɛ n t ɔ m ɔ l ɔ k', 'N;NOM;SG')
	('ɛntɔmɔlɔgɔm', 'N;DAT;PL')
	('ɛntɔmɔlɔgɔvʲi', 'N;DAT;SG')
	('ɛntɔmɔlɔguv', 'N;ACC;PL')
	('ɛntɔmɔlɔguv', 'N;GEN;PL')
	('ɛntɔmɔlɔgu', 'N;ESS;SG')
	('ɛntɔmɔlɔgu', 'N;VOC;SG')
entropia:	('ɛndrɔpʲiax', 'N;ESS;PL')
	('ɛndrɔpʲiamʲi', 'N;INS;PL')
	('ɛndrɔpʲiɔ̃', 'N;INS;SG')
	('ɛ n t r ɔ pʲ a', 'N;NOM;SG')
	('ɛndrɔpʲiɛ', 'N;ACC;PL')
	('ɛndrɔpʲiɛ~', 'N;ACC;SG')
	('ɛndrɔpʲiɛ', 'N;NOM;PL')
	('ɛndrɔpʲiɛ', 'N;VOC;PL')
	('ɛndrɔpʲii', 'N;DAT;SG')
	('ɛndrɔpʲii', 'N;ESS;SG')
	('ɛndrɔpʲii', 'N;GEN;PL')
	('ɛndrɔpʲii', 'N;GEN;SG')
	('ɛndrɔpʲiɔm', 'N;DAT;PL')
	('ɛndrɔpʲiɔ', 'N;VOC;SG')
entuzjasta:	('ɛntuzjaɕ\U00100001ʲiɛ', 'N;DAT;SG')
	('ɛntuzjaɕ\U00100001ʲiɛ', 'N;ESS;SG')
	('ɛntuzjaɕ\U00100001ʲi', 'N;NOM;PL')
	('ɛntuzjaɕ\U00100001ʲi', 'N;VOC;PL')
	('ɛntuzjastax', 'N;ESS;PL')
	('ɛntuzjastamʲi', 'N;INS;PL')
	('ɛntuzjastɔ̃', 'N;INS;SG')
	('ɛ n t u z j a s t a', 'N;NOM;SG')
	('ɛntuzjastɛ~', 'N;ACC;SG')
	('ɛntuzjastɔm', 'N;DAT;PL')
	('ɛntuzjastɔ', 'N;VOC;SG')
	('ɛntuzjastuv', 'N;ACC;PL')
	('ɛntuzjastuv', 'N;GEN;PL')
	('ɛntuzjastɨ', 'N;GEN;SG')
entuzjastka:	('ɛntuzjast\U00100001ɛ', 'N;DAT;SG')
	('ɛntuzjast\U00100001ɛ', 'N;ESS;SG')
	('ɛntuzjastɛk', 'N;GEN;PL')
	('ɛntuzjastkax', 'N;ESS;PL')
	('ɛntuzjastkamʲi', 'N;INS;PL')
	('ɛntuzjastkɔ̃', 'N;INS;SG')
	('ɛ n t u z j a s t k a', 'N;NOM;SG')
	('ɛntuzjastkɛ~', 'N;ACC;SG')
	('ɛntuzjastkʲi', 'N;ACC;PL')
	('ɛntuzjastkʲi', 'N;GEN;SG')
	('ɛntuzjastkʲi', 'N;NOM;PL')
	('ɛntuzjastkʲi', 'N;VOC;PL')
	('ɛntuzjastkɔm', 'N;DAT;PL')
	('ɛntuzjastkɔ', 'N;VOC;SG')
enzym:	('ɛnzɨmax', 'N;ESS;PL')
	('ɛnzɨmamʲi', 'N;INS;PL')
	('ɛnzɨmɛm', 'N;INS;SG')
	('ɛnzɨmʲiɛ', 'N;ESS;SG')
	('ɛnzɨmʲiɛ', 'N;VOC;SG')
	('ɛ̃ z ɨ m', 'N;ACC;SG')
	('ɛ̃ z ɨ m', 'N;NOM;SG')
	('ɛnzɨmɔm', 'N;DAT;PL')
	('ɛnzɨmɔvʲi', 'N;DAT;SG')
	('ɛnzɨmuv', 'N;GEN;PL')
	('ɛnzɨmu', 'N;GEN;SG')
	('ɛnzɨmɨ', 'N;ACC;PL')
	('ɛnzɨmɨ', 'N;NOM;PL')
	('ɛnzɨmɨ', 'N;VOC;PL')
epenteza:	('ɛpɛntɛzax', 'N;ESS;PL')
	('ɛpɛntɛzamʲi', 'N;INS;PL')
	('ɛpɛntɛzɔ̃', 'N;INS;SG')
	('ɛpɛntɛza', 'N;NOM;SG')
	('ɛpɛntɛzɛ~', 'N;ACC;SG')
	('ɛpɛntɛʑiɛ', 'N;DAT;SG')
	('ɛpɛntɛʑiɛ', 'N;ESS;SG')
	('ɛpɛntɛs', 'N;GEN;PL')
	('ɛpɛntɛzɔm', 'N;DAT;PL')
	('ɛpɛntɛzɔ', 'N;VOC;SG')
	('ɛpɛntɛzɨ', 'N;ACC;PL')
	('ɛpɛntɛzɨ', 'N;GEN;SG')
	('ɛpɛntɛzɨ', 'N;NOM;PL')
	('ɛpɛntɛzɨ', 'N;VOC;PL')
epicentrum:	('ɛpʲi\U00100001ɛndrax', 'N;ESS;PL')
	('ɛpʲi\U00100001ɛndramʲi', 'N;INS;PL')
	('ɛpʲi\U00100001ɛndra', 'N;ACC;PL')
	('ɛpʲi\U00100001ɛndra', 'N;NOM;PL')
	('ɛpʲi\U00100001ɛndra', 'N;VOC;PL')
	('ɛpʲi\U00100001ɛndrɔm', 'N;DAT;PL')
	('ɛpʲi\U00100001ɛndruv', 'N;GEN;PL')
	('ɛpʲi\U00100001ɛndrum', 'N;ACC;SG')
	('ɛpʲi\U00100001ɛndrum', 'N;DAT;SG')
	('ɛpʲi\U00100001ɛndrum', 'N;ESS;SG')
	('ɛpʲi\U00100001ɛndrum', 'N;GEN;SG')
	('ɛpʲi\U00100001ɛndrum', 'N;INS;SG')
	('ɛpʲi\U00100001ɛndrum', 'N;NOM;SG')
	('ɛpʲi\U00100001ɛndrum', 'N;VOC;SG')
epicykl:	('ɛpʲi\U00100001ɨglax', 'N;ESS;PL')
	('ɛpʲi\U00100001ɨglamʲi', 'N;INS;PL')
	('ɛpʲi\U00100001ɨglɛm', 'N;INS;SG')
	('ɛpʲi\U00100001ɨglɛ', 'N;ACC;PL')
	('ɛpʲi\U00100001ɨglɛ', 'N;NOM;PL')
	('ɛpʲi\U00100001ɨglɛ', 'N;VOC;PL')
	('ɛpʲi\U00100001ɨglʲi', 'N;GEN;PL')
	('ɛ pʲ i t͡s ɨ k l', 'N;ACC;SG')
	('ɛ pʲ i t͡s ɨ k l', 'N;NOM;SG')
	('ɛpʲi\U00100001ɨglɔm', 'N;DAT;PL')
	('ɛpʲi\U00100001ɨglɔvʲi', 'N;DAT;SG')
	('ɛpʲi\U00100001ɨglu', 'N;ESS;SG')
	('ɛpʲi\U00100001ɨglu', 'N;GEN;SG')
	('ɛpʲi\U00100001ɨglu', 'N;VOC;SG')
epidemia:	('ɛpʲidɛmʲiax', 'N;ESS;PL')
	('ɛpʲidɛmʲiamʲi', 'N;INS;PL')
	('ɛpʲidɛmʲiɔ̃', 'N;INS;SG')
	('ɛ pʲ i d ɛ mʲ a', 'N;NOM;SG')
	('ɛpʲidɛmʲiɛ', 'N;ACC;PL')
	('ɛpʲidɛmʲiɛ~', 'N;ACC;SG')
	('ɛpʲidɛmʲiɛ', 'N;NOM;PL')
	('ɛpʲidɛmʲiɛ', 'N;VOC;PL')
	('ɛpʲidɛmʲii', 'N;DAT;SG')
	('ɛpʲidɛmʲii', 'N;ESS;SG')
	('ɛpʲidɛmʲii', 'N;GEN;PL')
	('ɛpʲidɛmʲii', 'N;GEN;SG')
	('ɛpʲidɛmʲiɔm', 'N;DAT;PL')
	('ɛpʲidɛmʲiɔ', 'N;VOC;SG')
epifit:	('ɛpʲifʲi\U00100001ʲiɛ', 'N;ESS;SG')
	('ɛpʲifʲi\U00100001ʲiɛ', 'N;VOC;SG')
	('ɛpʲifʲitax', 'N;ESS;PL')
	('ɛpʲifʲitamʲi', 'N;INS;PL')
	('ɛpʲifʲitɛm', 'N;INS;SG')
	('ɛ pʲ i fʲ i t', 'N;ACC;SG')
	('ɛ pʲ i fʲ i t', 'N;NOM;SG')
	('ɛpʲifʲitɔm', 'N;DAT;PL')
	('ɛpʲifʲitɔvʲi', 'N;DAT;SG')
	('ɛpʲifʲituv', 'N;GEN;PL')
	('ɛpʲifʲitu', 'N;GEN;SG')
	('ɛpʲifʲitɨ', 'N;ACC;PL')
	('ɛpʲifʲitɨ', 'N;NOM;PL')
	('ɛpʲifʲitɨ', 'N;VOC;PL')
epilog:	('ɛpʲilɔgax', 'N;ESS;PL')
	('ɛpʲilɔgamʲi', 'N;INS;PL')
	('ɛpʲilɔgʲiɛm', 'N;INS;SG')
	('ɛpʲilɔgʲi', 'N;ACC;PL')
	('ɛpʲilɔgʲi', 'N;NOM;PL')
	('ɛpʲilɔgʲi', 'N;VOC;PL')
	('ɛ pʲ i l ɔ k', 'N;ACC;SG')
	('ɛ pʲ i l ɔ k', 'N;NOM;SG')
	('ɛpʲilɔgɔm', 'N;DAT;PL')
	('ɛpʲilɔgɔvʲi', 'N;DAT;SG')
	('ɛpʲilɔguv', 'N;GEN;PL')
	('ɛpʲilɔgu', 'N;ESS;SG')
	('ɛpʲilɔgu', 'N;GEN;SG')
	('ɛpʲilɔgu', 'N;VOC;SG')
episkopat:	('ɛpʲiskɔpa\U00100001ʲiɛ', 'N;ESS;SG')
	('ɛpʲiskɔpa\U00100001ʲiɛ', 'N;VOC;SG')
	('ɛpʲiskɔpatax', 'N;ESS;PL')
	('ɛpʲiskɔpatamʲi', 'N;INS;PL')
	('ɛpʲiskɔpatɛm', 'N;INS;SG')
	('ɛ pʲ i s k ɔ p a t', 'N;ACC;SG')
	('ɛ pʲ i s k ɔ p a t', 'N;NOM;SG')
	('ɛpʲiskɔpatɔm', 'N;DAT;PL')
	('ɛpʲiskɔpatɔvʲi', 'N;DAT;SG')
	('ɛpʲiskɔpatuv', 'N;GEN;PL')
	('ɛpʲiskɔpatu', 'N;GEN;SG')
	('ɛpʲiskɔpatɨ', 'N;ACC;PL')
	('ɛpʲiskɔpatɨ', 'N;NOM;PL')
	('ɛpʲiskɔpatɨ', 'N;VOC;PL')
epitafium:	('ɛpʲitafʲiax', 'N;ESS;PL')
	('ɛpʲitafʲiamʲi', 'N;INS;PL')
	('ɛpʲitafʲia', 'N;ACC;PL')
	('ɛpʲitafʲia', 'N;NOM;PL')
	('ɛpʲitafʲia', 'N;VOC;PL')
	('ɛpʲitafʲiɔm', 'N;DAT;PL')
	('ɛpʲitafʲiuv', 'N;GEN;PL')
	('ɛ pʲ i t a fʲ u m', 'N;ACC;SG')
	('ɛ pʲ i t a fʲ u m', 'N;DAT;SG')
	('ɛ pʲ i t a fʲ u m', 'N;ESS;SG')
	('ɛ pʲ i t a fʲ u m', 'N;GEN;SG')
	('ɛ pʲ i t a fʲ u m', 'N;INS;SG')
	('ɛ pʲ i t a fʲ u m', 'N;NOM;SG')
	('ɛ pʲ i t a fʲ u m', 'N;VOC;SG')
epitet:	('ɛpʲitɛ\U00100001ʲiɛ', 'N;ESS;SG')
	('ɛpʲitɛ\U00100001ʲiɛ', 'N;VOC;SG')
	('ɛpʲitɛtax', 'N;ESS;PL')
	('ɛpʲitɛtamʲi', 'N;INS;PL')
	('ɛpʲitɛtɛm', 'N;INS;SG')
	('ɛ pʲ i t ɛ t', 'N;ACC;SG')
	('ɛ pʲ i t ɛ t', 'N;NOM;SG')
	('ɛpʲitɛtɔm', 'N;DAT;PL')
